1-113-K2C-LS	given to 	Tumwater	
1-114-6T-PD	given to 	Port Angeles 	
1-114-6T-PD	given to 	Sequim 	
1-114-HSTL-LS	given to 	Bremerton	
1-114-HSTL-LS	given to 	Sequim 	
1-114-K5T-CT	given to 	Bremerton	
1-114-K5T-CT	given to 	Central Kitsap	
1-114-K5T-CT	given to 	Chimacum 	
1-114-K5T-CT	given to 	Crescent 	
1-114-K5T-CT	given to 	North Kitsap 	
1-114-K5T-CT	given to 	Quillayute Valley 	
1-114-K5T-CT	given to 	South Kitsap 	
1-114-K5T-IMF	given to 	Bremerton	
1-114-K5T-IMF	given to 	Port Angeles 	
1-114-K5TL-LS	given to 	Port Angeles 	
1-114-K8TL-LS	given to 	Quillayute Valley 	
1-114-MST-OSEPD	given to 	Central Kitsap	
1-114-MST-OSEPD	given to 	Sequim 	
1-121-C-LD	given to	Bethel	
1-121-C-LD	given to	Chief Leschi	
1-121-C-LD	given to	Clover Park	
1-121-C-LD	given to	Federal Way	
1-121-C-LD	given to	Franklin Pierce	
1-121-C-LD	given to	Highline	
1-121-C-LD	given to	Issaquah	
1-121-C-LD	given to	Kent	
1-121-C-LD	given to	Lake Washington	
1-121-C-LD	given to	Peninsula	
1-121-C-LD	given to	Renton	
1-121-C-LD	given to	Skykomish	
1-121-C-LD	given to	Sumner	
1-121-C-LD	given to	Tacoma	
1-121-C-LD	given to	Tahoma	
1-121-C-LD	given to	Tukwila	
1-121-C-LD	given to	White River	
1-121-DL-SP	given to	Renton	
1-121-K12T-PD	given to	Chief Leschi	
1-121-K12TL-LD	given to	Chief Leschi	
1-123-C-LB	given to	Asotin-Anatone	
1-123-C-LB	given to	Clarkston	
1-123-C-LB	given to	College Place	
1-123-C-LB	given to	Columbia (Walla Walla)	
1-123-C-LB	given to	Dayton	
1-123-C-LB	given to	Dixie	
1-123-C-LB	given to	Finley	
1-123-C-LB	given to	Kahlotus	
1-123-C-LB	given to	Kennewick	
1-123-C-LB	given to	Kiona-Benton City	
1-123-C-LB	given to	North Franklin	
1-123-C-LB	given to	Othello	
1-123-C-LB	given to	Pasco	
1-123-C-LB	given to	Paterson	
1-123-C-LB	given to	Pomeroy	
1-123-C-LB	given to	Prescott	
1-123-C-LB	given to	Prosser	
1-123-C-LB	given to	Richland	
1-123-C-LB	given to	Star	
1-123-C-LB	given to	Starbuck	
1-123-C-LB	given to	Touchet	
1-123-C-LB	given to	Waitsburg	
1-123-C-LB	given to	Walla Walla	
1-171-DL-SP	given to	Moses Lake	
1-171-K12T-LD	given to	Cashmere	
1-171-K12T-LD	given to	Moses Lake	
1-171-K12T-LD	given to	Wenatchee	
1-171-K12Ts-CS	given to	Brewster	
1-171-K12Ts-CS	given to	Moses Lake	
1-171-K12Ts-CS	given to	Quincy	
1-171-K12Ts-CS	given to	Waterville	
1-171-K12Ts-CS	given to	Wenatchee	
1-189-????-CA	given to 	LaConner	
1-189-????-CA	given to 	Lakewood	
1-189-????-CA	given to 	Lummi Nation	
1-189-????-CA	given to 	Marysville	
1-189-????-CA	given to 	Mount Baker	
1-189-????-CA	given to 	Orcas Island	
1-189-????-CA	given to 	Shaw Island	
1-189-????-CA	given to 	Stanwood-Camano	
1-189-????-CA	given to 	Sultan	
1-189-??TL-LS	given to 	Bellingham	
1-189-??TL-LS	given to 	Burlington-Edison	
1-189-??TL-LS	given to 	Edmonds	
1-189-??TL-LS	given to 	Ferndale	
1-189-??TL-LS	given to 	Marysville	
1-189-??TL-LS	given to 	Monroe	
1-189-??TL-LS	given to 	Mount Vernon	
1-189-??TL-LS	given to 	Mukilteo	
1-189-??TL-LS	given to 	Oak Harbor	
1-189-??TL-LS	given to 	Orcas Island	
1-189-??TL-LS	given to 	Sedro-Woolley	
1-189-??TL-LS	given to 	Stanwood-Camano	
2-all-LA-book	given to 	MTHLA/113	
2-all-LA-book	given to 	NCLA/171	
2-all-LA-book	given to 	NELA/101	
2-all-LA-book	given to 	NSLA/121	
2-all-LA-book	given to 	NWLA/189	
2-all-LA-book	given to 	OLA/114	
2-all-LA-book	given to 	SCLA/105	
2-all-LA-book	given to 	SELA/123	
2-all-LA-book	given to 	SSLA/121	
2-all-LA-book	given to 	SWLA/112	
2-all-varies-NGT	given to 	MTHLA/113	
2-all-varies-NGT	given to 	NCLA/171	
2-all-varies-NGT	given to 	NELA/101	
2-all-varies-NGT	given to 	NWLA/189	
2-all-varies-NGT	given to 	OLA/114	
2-all-varies-NGT	given to 	SCLA/105	
2-all-varies-NGT	given to 	SELA/123	
2-all-varies-NGT	given to 	SWLA/112	
all-101-advocacy	given to	WA State Leg.	
all-112-advocacy	given to	
all-all-LASER-adv	given to 	LASER	
all-all-LASER-lo	given to 	LASER	
all-NSLA-advocacy	given to		
Battle Ground	developed	all-112-advocacy	
ESD-121	developed	1-121-C-LD	
ESD-121	implemented	1-121-C-LD	
ISB	developed	1-121-DL-SP	
ISB	implemented	1-121-DL-SP	
LASER	developed	2-all-LA-book	
LASER	implemented	2-all-LA-book	
Loon Lake	developed	all-101-advocacy	
MTHLA/113	implemented	1-113-K2C-LS	
MTHLA/113	developed	1-113-K2C-LS	
NCLA/171	developed	1-171-DL-SP	
NCLA/171	implemented	1-171-DL-SP	
NCLA/171	implemented	1-171-K12T-LD	
NCLA/171	developed	1-171-K12T-LD	
NCLA/171	developed	1-171-K12Ts-CS	
NCLA/171	implemented	1-171-K12Ts-CS	
NELA/101	developed	1-101-K5DL-Le	
NELA/101	implemented	1-101-K5DL-Le	
NELA/101	developed	all-101-advocacy	
NSLA/121	developed	1-121-C-LD	
NSLA/121	implemented	1-121-C-LD	
NSLA/121	developed	1-121-DL-SP	
NSLA/121	implemented	1-121-DL-SP	
NSLA/121	developed	2-all-varies-NGT	
NSLA/121	implemented	2-all-varies-NGT	
NSLA/121	developed	all-NSLA-advocacy	
NWLA/189	implemented	1-189-????-CA	
NWLA/189	developed	1-189-????-CA	
NWLA/189	developed	1-189-??TL-LS	
NWLA/189	implemented	1-189-??TL-LS	
OLA/114	implemented	1-114-6T-PD	
OLA/114	developed	1-114-6T-PD	
OLA/114	implemented	1-114-HSTL-LS	
OLA/114	developed	1-114-HSTL-LS	
OLA/114	implemented	1-114-K5T-CT	
OLA/114	developed	1-114-K5T-CT	
OLA/114	implemented	1-114-K5T-IMF	
OLA/114	developed	1-114-K5T-IMF	
OLA/114	implemented	1-114-K5TL-LS	
OLA/114	developed	1-114-K5TL-LS	
OLA/114	implemented	1-114-K8TL-LS	
OLA/114	developed	1-114-K8TL-LS	
OLA/114	implemented	1-114-MST-OSEPD	
OLA/114	developed	1-114-MST-OSEPD	
Renton	developed	all-NSLA-advocacy	
SCLA/105	implemented	1-105-K5TL-IM	
SCLA/105	developed	1-105-K5TL-IM	
SELA/123	developed	1-123-C-LB	
SSEC	implemented	all-all-LASER-adv	
SSEC	implemented	all-all-LASER-adv	
SSEC	developed	all-all-LASER-lo	
SSEC	developed	all-all-LASER-lo	
SSLA/121	developed	1-121-C-LD	
SSLA/121	implemented	1-121-C-LD	
SSLA/121	developed	1-121-DL-SP	
SSLA/121	implemented	1-121-DL-SP	
SSLA/121	developed	1-121-K12T-PD	
SSLA/121	implemented	1-121-K12T-PD	
SSLA/121	developed	1-121-K12TL-LD	
SSLA/121	implemented	1-121-K12TL-LD	
SSLA/121	developed	2-all-varies-NGT	
SSLA/121	implemented	2-all-varies-NGT	
SWLA/112	developed	1-112-????-CaPa	
SWLA/112	implemented	1-112-????-CaPa	
SWLA/112	developed	1-112-DL-SP	
SWLA/112	implemented	1-112-DL-SP	
SWLA/112	developed	1-112-DL-SP	
SWLA/112	implemented	1-112-DL-SP	
SWLA/112	developed	all-112-advocacy	
